string_id	groupid	cog_category	description
411459.RUMOBE_00337	ENOG4107QTR	C	Required for nitrogen fixation. May be part of a membrane complex functioning as an intermediate in the electron transport to nitrogenase (By similarity)
411459.RUMOBE_00417	ENOG4105DDS	S	NA
290402.Cbei_3190	-	N/A	N/A
290402.Cbei_3407	ENOG4105CX7	N	Alpha-L-fucosidase
290402.Cbei_3451	ENOG4105GR1	L	transposase
290402.Cbei_4366	ENOG4105E97	J	Metal dependent phosphohydrolase
435590.BVU_0946	ENOG4105C27	P	TonB-dependent Receptor Plug
335541.Swol_1084	ENOG4105CEY	IQ	Amp-dependent synthetase and ligase
314231.FP2506_03039	ENOG4107WBH	M	OmpA family
335543.Sfum_1859	ENOG4106Q5Z	S	NA
386043.lwe0429	ENOG4106GKD	M	domain protein
196162.Noca_4620	ENOG4105DRV	Q	RelA SpoT domain protein
203119.Cthe_1631	ENOG4107UF6	S	Abortive infection phage resistance protein
203119.Cthe_2460	ENOG4108IMY	K	Transcriptional regulator
